Bescheid der Behörden	Communication from the authorities
beträchtlich gestiegen	considerably increased
Herkunftsstaat	Country of origin
Rekordüberschuss	record surplus
Bezogen auf die Wirtschaftsleistung	in terms of the economic performance
Streitigkeiten	Disputes
Büroleiterin	Office manager
Ermittlungsverfahren	Investigations
Leibwächter	body guard
Staatsanwaltschaft	Prosecutor's office
Asylverfahren	Asylum procedure
Aushöhlung der Menschenrechte	Erosion of human rights
prangert eine zunehmende Aushöhlung	Denounces an increasing erosion
Wut und Spaltung	Anger and division
finsterer und unsicherer	Darker and more insecure
Frankreichs Ruf als "Wiege der Menschenrechte"	France's reputation as the "cradle of human rights"
zunichte gemacht,	destroyed
mangelnder Maßnahmen	lack of action
verschärften Razzien	intensified raids
Verstöße gegen die Einwanderungsgesetze	Violations of immigration laws
künftig	in the future
Heimatschutzminister	Home Secretary
verurteilt antisemitische Vorfälle	Condemns anti-Semitic incidents
in jüngster Zeit	in recent times
ereignet haben	have occurred
Die Drohungen gegen jüdische Gemeinden	the threats against Jewish communities
Vorurteile	prejudices
die Ermittlungen der Polizei	The investigation of the police
veröffentlichten	published
beseitigen wollen	to eliminate
Verkaufserlös	sales revenue
ungewöhnlich	unusual
Anlass	occasion
Spaltung des Landes	division of the country
in "kleinem Umfang"	in "small scale"
zwar	indeed
umstritten	controversial
Triebwerksausfall	engine failure
Eindämmung der Migration	Control of migration
Kreisen der Bundesregierung	Circles of the federal government
Vertreter	Representative
gesellschaft	society
Der <strong>Wüstenstaat</strong> Algerien	The desert state of Algeria
Gebiet	area
Es gelang ihnen	They succeeded
Grenzzaun	Border fence
Knochenbrüchen	Bone fractures
überwiegend	mostly
verlangt	required
Bezugsdauer des Arbeitslosengelds I.	duration
Betroffenen	Affected persons
Erwerbslose	Unemployed
Leistung	benefit
Verwirrung	confusion
Verwirrung um Trumps <strong>Äußerungen</strong> über Schweden:	Confusion about trumps <strong>remarks</strong> about Sweden:
angeblichen Flüchtlingsvorfall	Alleged refugee incident
Botschaft	Embassy
Kurzmitteilungsdienst Twitter	Short message service Twitter
Fernsehsender	TV station
<strong>Zusammenhang</strong> zwischen der Einwanderung und Terror-Anschlägen	<strong>Link</strong> between immigration and terrorist attacks
Rede vor Anhängern	Speech before supporters
Rechtfertigung seiner restriktiven Einwanderungspolitik	Justifying its restrictive immigration policy
Anschuldigungen	accusations
<strong>Ermittlungen</strong> zum Tod von Kim Jong Nam	<strong>Investigations</strong> into the death of Kim Jong Nam
<strong>Verschwörung</strong> mit "feindlichen Mächten"	<strong>Conspiracy</strong> with "enemy powers"
<strong>Ruf</strong> Nordkoreas schädigen zu wollen	wanting to harm the <strong>reputation</strong> of North Korea
Pence als <em>Redner</em> bei Münchner Sicherheitskonferenz	speaker
der <em>Stellvertreter</em> des neuen US-Präsidenten Donald Trump	deputy
Verteidigungsministerin	secreatry of defence
So sei eine <em>Lastenteilung</em> unter NATO-Partnern mehr als eine Frage des Geldes	burden sharing
das sei <em>zuallererst</em> das Prinzip	first of all
füreinander einzustehen, <em>ohne Wenn und Aber</em>	without if and but
US-Verteidigungsminister James Mattis <em>bemühte sich</em>	tried hard
Zweifel	doubt
Bündnisfestigkeit zu zerstreuen	to dispel [rozwiać obawy co do] alliance strength
Merkel und Guterres <em>betonen Bedeutung</em> der UN	stress the meaning of
weltweiter <em>Verunsicherung</em>	uncertainty
übereinstimmen	to agree
Notwendigkeit	necessity
Fluchtursachen	causes of flight
Vierter <em>Verdächtiger</em> nach Mord an Kims Halbbruder <em>in Haft</em>	suspect... in custody
Menschenrechtsbeauftragte	human rigts commissioner
Abschiebestopp	deportation stop
Vielmehr seien neue Ansätze in der Integrationspolitik gefordert	Rather, new approaches to integration policy are required
Vorgehen der Staatsmacht	action of the state power
deutlich mehr	significantly more
insgesamt 5700	a total of 5700
die umstrittene Verfassungsreform	the controversial constitutional reform
knapp 1800 Anträge	nearly 1800 applications
Ministerpräsident	prime minister
Abstimmen	to vote
